,Width of shoulders,Vertical distance between shoulderes and table surface (shoulder normal),Vertical distance between shoulderes and table surface (round shoulder),Vertical distance between eye level and table surface,Vertical distance between Head posture device and table surface,Vertical distance between Chair and the ground,Horizational Distance (CM),Horizontal distance between eyes and head posture device,Sensor 1,Sensor 2,Sensor 3,Sensor 4
Width of shoulders,1.0,0.34,0.24,0.9,-0.47,-0.45,0.0,0.02,0.18,0.04,0.22,0.34
Vertical distance between shoulderes and table surface (shoulder normal),0.34,1.0,0.78,0.39,-0.01,-0.43,-0.01,-0.0,0.05,-0.0,0.08,0.07
Vertical distance between shoulderes and table surface (round shoulder),0.24,0.78,1.0,0.32,-0.1,-0.06,-0.01,-0.04,-0.03,0.01,-0.01,-0.01
Vertical distance between eye level and table surface,0.9,0.39,0.32,1.0,-0.35,-0.6,-0.0,0.08,0.1,0.04,0.11,0.23
Vertical distance between Head posture device and table surface,-0.47,-0.01,-0.1,-0.35,1.0,-0.31,-0.0,0.13,0.06,0.07,0.04,0.13
Vertical distance between Chair and the ground,-0.45,-0.43,-0.06,-0.6,-0.31,1.0,-0.01,-0.08,-0.1,-0.04,-0.09,-0.16
Horizational Distance (CM),0.0,-0.01,-0.01,-0.0,-0.0,-0.01,1.0,0.91,0.59,0.21,0.77,0.64
Horizontal distance between eyes and head posture device,0.02,-0.0,-0.04,0.08,0.13,-0.08,0.91,1.0,0.61,0.23,0.79,0.74
Sensor 1,0.18,0.05,-0.03,0.1,0.06,-0.1,0.59,0.61,1.0,0.21,0.75,0.69
Sensor 2,0.04,-0.0,0.01,0.04,0.07,-0.04,0.21,0.23,0.21,1.0,0.26,0.24
Sensor 3,0.22,0.08,-0.01,0.11,0.04,-0.09,0.77,0.79,0.75,0.26,1.0,0.89
Sensor 4,0.34,0.07,-0.01,0.23,0.13,-0.16,0.64,0.74,0.69,0.24,0.89,1.0
