,Width of shoulders,Vertical distance between shoulderes and table surface (shoulder normal),Vertical distance between shoulderes and table surface (round shoulder),Vertical distance between eye level and table surface,Vertical distance between Head posture device and table surface,Vertical distance between Chair and the ground,Horizational Distance (CM),Horizontal distance between eyes and head posture device,Sensor 1,Sensor 2,Sensor 3,Sensor 4
Width of shoulders,1.0,0.34,0.24,0.9,-0.47,-0.45,-0.0,0.02,0.25,0.01,0.22,0.34
Vertical distance between shoulderes and table surface (shoulder normal),0.34,1.0,0.78,0.39,-0.01,-0.43,-0.0,0.0,0.06,-0.04,0.08,0.06
Vertical distance between shoulderes and table surface (round shoulder),0.24,0.78,1.0,0.32,-0.1,-0.06,0.0,-0.03,-0.04,-0.0,-0.02,-0.01
Vertical distance between eye level and table surface,0.9,0.39,0.32,1.0,-0.35,-0.6,-0.0,0.08,0.14,-0.0,0.11,0.23
Vertical distance between Head posture device and table surface,-0.47,-0.01,-0.1,-0.35,1.0,-0.31,-0.0,0.13,0.06,0.07,0.02,0.12
Vertical distance between Chair and the ground,-0.45,-0.43,-0.06,-0.6,-0.31,1.0,-0.0,-0.07,-0.12,0.03,-0.08,-0.15
Horizational Distance (CM),-0.0,-0.0,0.0,-0.0,-0.0,-0.0,1.0,0.91,0.79,0.27,0.79,0.66
Horizontal distance between eyes and head posture device,0.02,0.0,-0.03,0.08,0.13,-0.07,0.91,1.0,0.81,0.29,0.8,0.75
Sensor 1,0.25,0.06,-0.04,0.14,0.06,-0.12,0.79,0.81,1.0,0.32,0.98,0.91
Sensor 2,0.01,-0.04,-0.0,-0.0,0.07,0.03,0.27,0.29,0.32,1.0,0.31,0.29
Sensor 3,0.22,0.08,-0.02,0.11,0.02,-0.08,0.79,0.8,0.98,0.31,1.0,0.9
Sensor 4,0.34,0.06,-0.01,0.23,0.12,-0.15,0.66,0.75,0.91,0.29,0.9,1.0
