,Width of shoulders,Vertical distance between shoulderes and table surface (shoulder normal),Vertical distance between shoulderes and table surface (round shoulder),Vertical distance between eye level and table surface,Vertical distance between Head posture device and table surface,Vertical distance between Chair and the ground,Horizational Distance (CM),Horizontal distance between eyes and head posture device,Sensor 1,Sensor 2,Sensor 3,Sensor 4
Width of shoulders,1.0,0.34,0.24,0.9,-0.47,-0.45,0.0,0.02,0.23,0.03,0.2,0.34
Vertical distance between shoulderes and table surface (shoulder normal),0.34,1.0,0.78,0.39,-0.01,-0.43,-0.02,-0.01,0.05,-0.02,0.07,0.07
Vertical distance between shoulderes and table surface (round shoulder),0.24,0.78,1.0,0.32,-0.1,-0.06,-0.06,-0.07,-0.03,0.01,-0.01,-0.0
Vertical distance between eye level and table surface,0.9,0.39,0.32,1.0,-0.35,-0.6,-0.0,0.08,0.13,0.02,0.1,0.22
Vertical distance between Head posture device and table surface,-0.47,-0.01,-0.1,-0.35,1.0,-0.31,-0.01,0.14,0.04,0.05,0.02,0.12
Vertical distance between Chair and the ground,-0.45,-0.43,-0.06,-0.6,-0.31,1.0,-0.02,-0.09,-0.09,-0.0,-0.06,-0.14
Horizational Distance (CM),0.0,-0.02,-0.06,-0.0,-0.01,-0.02,1.0,0.9,0.76,0.22,0.75,0.63
Horizontal distance between eyes and head posture device,0.02,-0.01,-0.07,0.08,0.14,-0.09,0.9,1.0,0.79,0.24,0.77,0.73
Sensor 1,0.23,0.05,-0.03,0.13,0.04,-0.09,0.76,0.79,1.0,0.27,0.98,0.91
Sensor 2,0.03,-0.02,0.01,0.02,0.05,-0.0,0.22,0.24,0.27,1.0,0.26,0.24
Sensor 3,0.2,0.07,-0.01,0.1,0.02,-0.06,0.75,0.77,0.98,0.26,1.0,0.9
Sensor 4,0.34,0.07,-0.0,0.22,0.12,-0.14,0.63,0.73,0.91,0.24,0.9,1.0
