,Width of shoulders,Vertical distance between shoulderes and table surface (shoulder normal),Vertical distance between shoulderes and table surface (round shoulder),Vertical distance between eye level and table surface,Vertical distance between Head posture device and table surface,Vertical distance between Chair and the ground,Horizational Distance (CM),Horizontal distance between eyes and head posture device,Sensor 1,Sensor 2,Sensor 3,Sensor 4
Width of shoulders,1.0,0.34,0.24,0.9,-0.47,-0.45,0.0,0.02,0.22,0.02,0.19,0.32
Vertical distance between shoulderes and table surface (shoulder normal),0.34,1.0,0.78,0.39,-0.01,-0.43,-0.02,-0.01,0.05,-0.02,0.04,0.05
Vertical distance between shoulderes and table surface (round shoulder),0.24,0.78,1.0,0.32,-0.1,-0.06,-0.04,-0.06,-0.01,0.0,-0.01,-0.01
Vertical distance between eye level and table surface,0.9,0.39,0.32,1.0,-0.35,-0.6,-0.0,0.08,0.18,0.01,0.15,0.24
Vertical distance between Head posture device and table surface,-0.47,-0.01,-0.1,-0.35,1.0,-0.31,-0.0,0.14,0.02,0.07,-0.03,0.09
Vertical distance between Chair and the ground,-0.45,-0.43,-0.06,-0.6,-0.31,1.0,-0.02,-0.09,-0.13,-0.02,-0.09,-0.14
Horizational Distance (CM),0.0,-0.02,-0.04,-0.0,-0.0,-0.02,1.0,0.9,0.86,0.23,0.86,0.7
Horizontal distance between eyes and head posture device,0.02,-0.01,-0.06,0.08,0.14,-0.09,0.9,1.0,0.89,0.25,0.88,0.8
Sensor 1,0.22,0.05,-0.01,0.18,0.02,-0.13,0.86,0.89,1.0,0.26,0.98,0.89
Sensor 2,0.02,-0.02,0.0,0.01,0.07,-0.02,0.23,0.25,0.26,1.0,0.25,0.24
Sensor 3,0.19,0.04,-0.01,0.15,-0.03,-0.09,0.86,0.88,0.98,0.25,1.0,0.88
Sensor 4,0.32,0.05,-0.01,0.24,0.09,-0.14,0.7,0.8,0.89,0.24,0.88,1.0
