,Width of shoulders,Vertical distance between shoulderes and table surface (shoulder normal),Vertical distance between shoulderes and table surface (round shoulder),Vertical distance between eye level and table surface,Vertical distance between Head posture device and table surface,Vertical distance between Chair and the ground,Horizational Distance (CM),Horizontal distance between eyes and head posture device,Sensor 1,Sensor 2,Sensor 3,Sensor 4
Width of shoulders,1.0,-0.7907434449268166,-0.7765782890073446,-0.669772086837899,,-0.7034650053120121,8.210839526391423e-15,-0.3449040240406059,0.08890448767539492,-0.019618518708669323,0.11959940664497763,0.39844484059783436
Vertical distance between shoulderes and table surface (shoulder normal),-0.7907434449268166,1.0,0.9569341651940804,0.959028352656541,,0.8685990362153759,-1.9536999883845863e-14,0.2222197741803943,-0.18998089481884095,0.0015565300160534793,-0.1833285794187011,-0.4282753075690988
Vertical distance between shoulderes and table surface (round shoulder),-0.7765782890073446,0.9569341651940804,1.0,0.9426396144281526,,0.7407971974871983,-4.059205336602819e-15,0.23536332836748147,-0.23294621546546365,0.02285432439551696,-0.21189824986406566,-0.4748238966679837
Vertical distance between eye level and table surface,-0.669772086837899,0.959028352656541,0.9426396144281526,1.0,,0.7125812379830144,-1.490182463918418e-14,0.16205739857600096,-0.15284927659101968,0.021162654359579706,-0.14262538655722626,-0.3939786354388877
Vertical distance between Head posture device and table surface,,,,,,,,,,,,
Vertical distance between Chair and the ground,-0.7034650053120121,0.8685990362153759,0.7407971974871983,0.7125812379830144,,1.0,-2.2088201485951942e-14,0.21293750549433213,-0.21146270183536928,-0.049057692141139586,-0.2072947068750987,-0.349237136091381
Horizational Distance (CM),8.210839526391423e-15,-1.9536999883845863e-14,-4.059205336602819e-15,-1.490182463918418e-14,,-2.2088201485951942e-14,1.0,0.9024290829520306,0.8322677439749818,0.35702502487822274,0.8867160006769164,0.4069157551839489
Horizontal distance between eyes and head posture device,-0.3449040240406059,0.2222197741803943,0.23536332836748147,0.16205739857600096,,0.21293750549433213,0.9024290829520306,1.0,0.6896613921093822,0.3092180604547584,0.740490877631129,0.20133565508512702
Sensor 1,0.08890448767539492,-0.18998089481884095,-0.23294621546546365,-0.15284927659101968,,-0.21146270183536928,0.8322677439749818,0.6896613921093822,1.0,0.3922724218043656,0.9664919745182212,0.5328371668175668
Sensor 2,-0.019618518708669323,0.0015565300160534793,0.02285432439551696,0.021162654359579706,,-0.049057692141139586,0.35702502487822274,0.3092180604547584,0.3922724218043656,1.0,0.38275039823498747,0.17431696684635584
Sensor 3,0.11959940664497763,-0.1833285794187011,-0.21189824986406566,-0.14262538655722626,,-0.2072947068750987,0.8867160006769164,0.740490877631129,0.9664919745182212,0.38275039823498747,1.0,0.5481989652772405
Sensor 4,0.39844484059783436,-0.4282753075690988,-0.4748238966679837,-0.3939786354388877,,-0.349237136091381,0.4069157551839489,0.20133565508512702,0.5328371668175668,0.17431696684635584,0.5481989652772405,1.0
