,Width of shoulders,Vertical distance between shoulderes and table surface (shoulder normal),Vertical distance between shoulderes and table surface (round shoulder),Vertical distance between eye level and table surface,Vertical distance between Head posture device and table surface,Vertical distance between Chair and the ground,Horizational Distance (CM),Horizontal distance between eyes and head posture device,Sensor 1,Sensor 2,Sensor 3,Sensor 4
Width of shoulders,1.0,0.13,0.09,0.87,-0.6,-0.27,-0.1,-0.15,0.15,-0.05,0.11,0.08
Vertical distance between shoulderes and table surface (shoulder normal),0.13,1.0,0.85,0.24,-0.09,-0.26,0.19,0.17,0.25,0.12,0.32,-0.03
Vertical distance between shoulderes and table surface (round shoulder),0.09,0.85,1.0,0.21,-0.06,0.03,0.1,0.07,0.09,0.3,0.16,-0.09
Vertical distance between eye level and table surface,0.87,0.24,0.21,1.0,-0.5,-0.48,0.01,0.04,0.18,0.07,0.16,0.06
Vertical distance between Head posture device and table surface,-0.6,-0.09,-0.06,-0.5,1.0,-0.23,-0.19,0.09,0.03,0.23,-0.04,0.35
Vertical distance between Chair and the ground,-0.27,-0.26,0.03,-0.48,-0.23,1.0,-0.14,-0.27,-0.33,0.06,-0.27,-0.27
Horizational Distance (CM),-0.1,0.19,0.1,0.01,-0.19,-0.14,1.0,0.87,0.62,0.27,0.67,0.32
Horizontal distance between eyes and head posture device,-0.15,0.17,0.07,0.04,0.09,-0.27,0.87,1.0,0.66,0.41,0.67,0.54
Sensor 1,0.15,0.25,0.09,0.18,0.03,-0.33,0.62,0.66,1.0,0.5,0.95,0.79
Sensor 2,-0.05,0.12,0.3,0.07,0.23,0.06,0.27,0.41,0.5,1.0,0.49,0.49
Sensor 3,0.11,0.32,0.16,0.16,-0.04,-0.27,0.67,0.67,0.95,0.49,1.0,0.72
Sensor 4,0.08,-0.03,-0.09,0.06,0.35,-0.27,0.32,0.54,0.79,0.49,0.72,1.0
