,Width of shoulders,Vertical distance between shoulderes and table surface (shoulder normal),Vertical distance between shoulderes and table surface (round shoulder),Vertical distance between eye level and table surface,Vertical distance between Head posture device and table surface,Vertical distance between Chair and the ground,Horizational Distance (CM),Horizontal distance between eyes and head posture device,Sensor 1,Sensor 2,Sensor 3,Sensor 4
Width of shoulders,1.0,-0.79,-0.78,-0.67,,-0.7,0.0,-0.34,0.09,-0.02,0.12,0.4
Vertical distance between shoulderes and table surface (shoulder normal),-0.79,1.0,0.96,0.96,,0.87,-0.0,0.22,-0.19,0.0,-0.18,-0.43
Vertical distance between shoulderes and table surface (round shoulder),-0.78,0.96,1.0,0.94,,0.74,-0.0,0.24,-0.23,0.02,-0.21,-0.47
Vertical distance between eye level and table surface,-0.67,0.96,0.94,1.0,,0.71,-0.0,0.16,-0.15,0.02,-0.14,-0.39
Vertical distance between Head posture device and table surface,,,,,,,,,,,,
Vertical distance between Chair and the ground,-0.7,0.87,0.74,0.71,,1.0,-0.0,0.21,-0.21,-0.05,-0.21,-0.35
Horizational Distance (CM),0.0,-0.0,-0.0,-0.0,,-0.0,1.0,0.9,0.83,0.36,0.89,0.41
Horizontal distance between eyes and head posture device,-0.34,0.22,0.24,0.16,,0.21,0.9,1.0,0.69,0.31,0.74,0.2
Sensor 1,0.09,-0.19,-0.23,-0.15,,-0.21,0.83,0.69,1.0,0.39,0.97,0.53
Sensor 2,-0.02,0.0,0.02,0.02,,-0.05,0.36,0.31,0.39,1.0,0.38,0.17
Sensor 3,0.12,-0.18,-0.21,-0.14,,-0.21,0.89,0.74,0.97,0.38,1.0,0.55
Sensor 4,0.4,-0.43,-0.47,-0.39,,-0.35,0.41,0.2,0.53,0.17,0.55,1.0
