,Width of shoulders,Vertical distance between shoulderes and table surface (shoulder normal),Vertical distance between shoulderes and table surface (round shoulder),Vertical distance between eye level and table surface,Vertical distance between Head posture device and table surface,Vertical distance between Chair and the ground,Horizational Distance (CM),Horizontal distance between eyes and head posture device,Sensor 1,Sensor 2,Sensor 3,Sensor 4
Width of shoulders,1.0,-0.7907434449267983,-0.7765782890073358,-0.6697720868378864,,-0.7034650053120074,-8.715332114968813e-16,-0.34490402404059783,0.06416518113523008,-0.04173283361698703,0.1261179535479889,0.6478747972954997
Vertical distance between shoulderes and table surface (shoulder normal),-0.7907434449267983,1.0,0.9569341651940737,0.9590283526565354,,0.8685990362153801,-6.865090506651221e-15,0.22221977418037606,-0.1930676430536502,-0.004013325974094286,-0.20169461073080122,-0.6434725679712886
Vertical distance between shoulderes and table surface (round shoulder),-0.7765782890073358,0.9569341651940737,1.0,0.9426396144281443,,0.7407971974871937,-1.0131145033221634e-14,0.23536332836745755,-0.255135818869575,0.015786140813850272,-0.2383720957160218,-0.6903162788015521
Vertical distance between eye level and table surface,-0.6697720868378864,0.9590283526565354,0.9426396144281443,1.0,,0.7125812379830019,-5.099694732527376e-15,0.16205739857598955,-0.16182301213954425,0.026820593670711528,-0.15844398088717038,-0.5722043009816682
Vertical distance between Head posture device and table surface,,,,,,,,,,,,
Vertical distance between Chair and the ground,-0.7034650053120074,0.8685990362153801,0.7407971974871937,0.7125812379830019,,1.0,-3.605637482627823e-15,0.21293750549431928,-0.2036369022016444,-0.0809322168488748,-0.2247284142753243,-0.5533017035894204
Horizational Distance (CM),-8.715332114968813e-16,-6.865090506651221e-15,-1.0131145033221634e-14,-5.099694732527376e-15,,-3.605637482627823e-15,1.0,0.9024290829520321,0.8290122753709489,0.5194304839152654,0.8851036693718131,0.5789968557311792
Horizontal distance between eyes and head posture device,-0.34490402404059783,0.22221977418037606,0.23536332836745755,0.16205739857598955,,0.21293750549431928,0.9024290829520321,1.0,0.688930105518071,0.44991451643080804,0.7263031750835672,0.26159783807496817
Sensor 1,0.06416518113523008,-0.1930676430536502,-0.255135818869575,-0.16182301213954425,,-0.2036369022016444,0.8290122753709489,0.688930105518071,1.0,0.5470414372939503,0.9665370599547692,0.7543471468841998
Sensor 2,-0.04173283361698703,-0.004013325974094286,0.015786140813850272,0.026820593670711528,,-0.0809322168488748,0.5194304839152654,0.44991451643080804,0.5470414372939503,1.0,0.5473315417484147,0.3559767283445067
Sensor 3,0.1261179535479889,-0.20169461073080122,-0.2383720957160218,-0.15844398088717038,,-0.2247284142753243,0.8851036693718131,0.7263031750835672,0.9665370599547692,0.5473315417484147,1.0,0.7748007566905368
Sensor 4,0.6478747972954997,-0.6434725679712886,-0.6903162788015521,-0.5722043009816682,,-0.5533017035894204,0.5789968557311792,0.26159783807496817,0.7543471468841998,0.3559767283445067,0.7748007566905368,1.0
