,Width of shoulders,Vertical distance between shoulderes and table surface (shoulder normal),Vertical distance between shoulderes and table surface (round shoulder),Vertical distance between eye level and table surface,Vertical distance between Head posture device and table surface,Vertical distance between Chair and the ground,Horizational Distance (CM),Horizontal distance between eyes and head posture device,Sensor 1,Sensor 2,Sensor 3,Sensor 4
Width of shoulders,1.0,0.34,0.24,0.9,-0.47,-0.45,0.0,0.02,0.13,0.08,0.23,0.39
Vertical distance between shoulderes and table surface (shoulder normal),0.34,1.0,0.78,0.39,-0.01,-0.43,0.0,0.0,0.04,0.01,0.14,0.12
Vertical distance between shoulderes and table surface (round shoulder),0.24,0.78,1.0,0.32,-0.1,-0.06,0.0,-0.03,-0.05,0.0,-0.01,0.04
Vertical distance between eye level and table surface,0.9,0.39,0.32,1.0,-0.35,-0.6,0.0,0.08,0.03,0.06,0.06,0.24
Vertical distance between Head posture device and table surface,-0.47,-0.01,-0.1,-0.35,1.0,-0.31,-0.0,0.13,0.09,0.07,0.14,0.15
Vertical distance between Chair and the ground,-0.45,-0.43,-0.06,-0.6,-0.31,1.0,0.0,-0.07,-0.08,-0.06,-0.1,-0.16
Horizational Distance (CM),0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.91,0.4,0.19,0.69,0.59
Horizontal distance between eyes and head posture device,0.02,0.0,-0.03,0.08,0.13,-0.07,0.91,1.0,0.4,0.22,0.7,0.68
Sensor 1,0.13,0.04,-0.05,0.03,0.09,-0.08,0.4,0.4,1.0,0.15,0.56,0.52
Sensor 2,0.08,0.01,0.0,0.06,0.07,-0.06,0.19,0.22,0.15,1.0,0.26,0.26
Sensor 3,0.23,0.14,-0.01,0.06,0.14,-0.1,0.69,0.7,0.56,0.26,1.0,0.91
Sensor 4,0.39,0.12,0.04,0.24,0.15,-0.16,0.59,0.68,0.52,0.26,0.91,1.0
