,No,Number Per One Dimension,Gender,Size,Width of shoulders,Vertical distance between shoulderes and table surface (shoulder normal),Vertical distance between shoulderes and table surface (round shoulder),Vertical distance between eye level and table surface,Vertical distance between Head posture device and table surface,Vertical distance between Chair and the ground,Horizational Distance (CM),Horizontal distance between eyes and head posture device,Shoulder Posture,Head Posture,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 4-2
1440,1441,1,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),878,843,859,731,-112
1441,1442,2,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),877,875,854,727,-148
1442,1443,3,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),879,865,856,727,-138
1443,1444,4,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),870,869,861,727,-142
1444,1445,5,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),872,850,853,734,-116
1446,1447,7,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),875,836,851,711,-125
1447,1448,8,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),863,829,853,730,-99
1448,1449,9,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),863,837,855,722,-115
1449,1450,10,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),878,878,850,732,-146
1450,1451,11,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),882,857,860,736,-121
1451,1452,12,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),882,859,853,734,-125
1452,1453,13,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),871,861,858,727,-134
1453,1454,14,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),878,872,846,725,-147
1454,1455,15,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),875,846,849,731,-115
1455,1456,16,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),867,877,857,732,-145
1456,1457,17,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),882,823,864,723,-100
1457,1458,18,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),887,852,850,724,-128
1458,1459,19,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),878,834,858,714,-120
1459,1460,20,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),877,859,848,725,-134
1460,1461,21,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),884,840,863,722,-118
1461,1462,22,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),875,857,848,716,-141
1462,1463,23,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),872,886,845,718,-168
1463,1464,24,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),880,847,852,716,-131
1464,1465,25,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),875,839,855,725,-114
1465,1466,26,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),869,841,848,724,-117
1466,1467,27,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),869,800,850,721,-79
1467,1468,28,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),870,831,857,733,-98
1468,1469,29,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),876,862,858,719,-143
1469,1470,30,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),872,860,851,723,-137
1470,1471,31,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),859,863,844,719,-144
1471,1472,32,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),870,834,856,722,-112
1472,1473,33,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),863,831,854,716,-115
1473,1474,34,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),873,846,850,714,-132
1474,1475,35,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),876,823,845,731,-92
1475,1476,36,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),875,814,848,728,-86
1477,1478,38,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),877,836,852,725,-111
1478,1479,39,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),875,865,844,717,-148
1479,1480,40,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),877,823,857,712,-111
1480,1481,41,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),869,863,851,741,-122
1481,1482,42,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),871,831,849,711,-120
1482,1483,43,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),876,852,854,717,-135
1483,1484,44,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),868,828,855,726,-102
1484,1485,45,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),864,855,863,724,-131
1485,1486,46,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),867,854,852,709,-145
1486,1487,47,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),871,837,844,718,-119
1487,1488,48,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),879,860,857,719,-141
1488,1489,49,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),877,836,852,726,-110
1489,1490,50,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),879,849,862,710,-139
1490,1491,51,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),876,827,853,719,-108
1491,1492,52,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),873,813,850,708,-105
1492,1493,53,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),881,869,853,712,-157
1493,1494,54,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),872,842,848,727,-115
1494,1495,55,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),866,825,851,716,-109
1495,1496,56,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),866,821,844,709,-112
1496,1497,57,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),873,861,856,722,-139
1497,1498,58,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),874,868,855,707,-161
1498,1499,59,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),864,843,850,724,-119
1499,1500,60,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Extreme),866,857,862,727,-130
1500,1501,1,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),872,875,849,720,-155
1501,1502,2,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),871,849,852,729,-120
1502,1503,3,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),868,858,857,732,-126
1503,1504,4,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),868,852,855,710,-142
1504,1505,5,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),873,836,852,718,-118
1505,1506,6,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),864,849,856,712,-137
1507,1508,8,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),873,861,860,718,-143
1508,1509,9,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),871,878,857,721,-157
1509,1510,10,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),874,869,856,719,-150
1510,1511,11,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),868,873,855,725,-148
1511,1512,12,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),877,858,851,711,-147
1512,1513,13,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),877,876,858,719,-157
1513,1514,14,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),872,876,851,721,-155
1514,1515,15,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),881,854,848,724,-130
1515,1516,16,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),875,829,858,716,-113
1516,1517,17,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),874,863,848,725,-138
1518,1519,19,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),863,885,851,730,-155
1519,1520,20,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),880,858,857,733,-125
1520,1521,21,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),863,857,854,720,-137
1521,1522,22,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),885,849,857,717,-132
