Timestamp,Posture,Distance (cm),Sensor Reading,
2024/6/20 18:18,RS+PC,65,481,595
2024/6/20 18:18,RS+PC,65,496,606
2024/6/20 18:18,RS+PC,65,517,614
2024/6/20 18:18,RS+PC,65,528,616
2024/6/20 18:18,RS+PC,65,514,608
2024/6/20 18:18,RS+PC,65,499,597
2024/6/20 18:18,RS+PC,65,484,581
2024/6/20 18:18,RS+PC,65,475,574
2024/6/20 18:18,RS+PC,65,488,584
2024/6/20 18:18,RS+PC,65,511,604
2024/6/20 18:18,RS+PC,65,530,632
2024/6/20 18:18,RS+PC,65,554,650
2024/6/20 18:18,RS+PC,65,560,653
2024/6/20 18:18,RS+PC,65,546,634
2024/6/20 18:18,RS+PC,65,542,618
2024/6/20 18:18,RS+PC,65,527,612
2024/6/20 18:18,RS+PC,65,508,604
2024/6/20 18:18,RS+PC,70,495,605
2024/6/20 18:18,RS+PC,70,477,601
2024/6/20 18:18,RS+PC,70,464,594
2024/6/20 18:18,RS+PC,70,469,591
2024/6/20 18:18,RS+PC,70,470,591
2024/6/20 18:18,RS+PC,70,475,595
2024/6/20 18:18,RS+PC,70,476,596
2024/6/20 18:18,RS+PC,70,463,596
2024/6/20 18:18,RS+PC,70,464,595
2024/6/20 18:18,RS+PC,70,465,592
2024/6/20 18:18,RS+PC,70,464,593
2024/6/20 18:18,RS+PC,70,463,596
2024/6/20 18:18,RS+PC,70,464,596
2024/6/20 18:18,RS+PC,70,458,598
2024/6/20 18:18,RS+PC,70,459,597
2024/6/20 18:18,RS+PC,70,466,598
2024/6/20 18:18,RS+PC,80,465,599
2024/6/20 18:18,RS+PC,80,467,594
2024/6/20 18:18,RS+PC,80,473,591
2024/6/20 18:18,RS+PC,80,474,586
2024/6/20 18:18,RS+PC,80,479,589
2024/6/20 18:18,RS+PC,80,481,591
2024/6/20 18:18,RS+PC,80,472,593
2024/6/20 18:18,RS+PC,80,467,593
2024/6/20 18:18,RS+PC,80,458,592
2024/6/20 18:18,RS+PC,80,454,595
2024/6/20 18:18,RS+PC,80,455,593
2024/6/20 18:18,RS+PC,80,452,593
2024/6/20 18:18,RS+PC,80,451,592
2024/6/20 18:18,RS+PC,80,443,590
2024/6/20 18:18,RS+PC,80,437,594
2024/6/20 18:18,NS+NE,65,445,597
2024/6/20 18:18,NS+NE,65,469,601
2024/6/20 18:18,NS+NE,65,487,603
2024/6/20 18:18,NS+NE,65,502,603
2024/6/20 18:18,NS+NE,65,522,611
2024/6/20 18:18,NS+NE,65,522,616
2024/6/20 18:18,NS+NE,65,536,625
2024/6/20 18:18,NS+NE,65,548,636
2024/6/20 18:18,NS+NE,65,537,636
2024/6/20 18:18,NS+NE,65,527,634
2024/6/20 18:18,NS+NE,65,518,637
2024/6/20 18:18,NS+NE,65,516,641
2024/6/20 18:18,NS+NE,65,518,641
2024/6/20 18:18,NS+NE,65,512,630
2024/6/20 18:18,NS+NE,65,510,615
2024/6/20 18:18,NS+NE,70,502,604
2024/6/20 18:18,NS+NE,70,495,596
2024/6/20 18:18,NS+NE,70,495,600
2024/6/20 18:18,NS+NE,70,488,602
2024/6/20 18:18,NS+NE,70,481,599
2024/6/20 18:18,NS+NE,70,478,596
2024/6/20 18:18,NS+NE,70,477,593
2024/6/20 18:18,NS+NE,70,475,592
2024/6/20 18:18,NS+NE,70,486,605
2024/6/20 18:18,NS+NE,70,520,625
2024/6/20 18:18,NS+NE,70,532,640
2024/6/20 18:18,NS+NE,70,533,641
2024/6/20 18:18,NS+NE,70,522,618
2024/6/20 18:18,NS+NE,70,478,586
2024/6/20 18:18,NS+NE,70,459,557
2024/6/20 18:18,NS+NE,80,469,554
2024/6/20 18:18,NS+NE,80,464,569
2024/6/20 18:18,NS+NE,80,469,586
2024/6/20 18:18,NS+NE,80,482,605
2024/6/20 18:18,NS+NE,80,480,609
2024/6/20 18:18,NS+NE,80,489,609
2024/6/20 18:18,NS+NE,80,486,606
2024/6/20 18:18,NS+NE,80,476,601
2024/6/20 18:18,NS+NE,80,462,600
2024/6/20 18:18,NS+NE,80,460,596
2024/6/20 18:18,NS+NE,80,469,591
2024/6/20 18:18,NS+NE,80,471,584
2024/6/20 18:18,NS+NE,80,473,579
2024/6/20 18:18,NS+NE,80,471,570
2024/6/20 18:18,NS+NE,80,467,567
2024/6/20 18:21,RS+PC,65,609,678
2024/6/20 18:21,RS+PC,65,612,679
2024/6/20 18:21,RS+PC,65,610,678
2024/6/20 18:21,RS+PC,65,611,678
2024/6/20 18:21,RS+PC,65,608,680
2024/6/20 18:21,RS+PC,65,597,680
2024/6/20 18:21,RS+PC,65,591,674
2024/6/20 18:21,RS+PC,65,595,677
2024/6/20 18:21,RS+PC,65,604,672
2024/6/20 18:21,RS+PC,65,617,671
2024/6/20 18:21,RS+PC,65,626,676
2024/6/20 18:21,RS+PC,65,620,674
2024/6/20 18:21,RS+PC,65,613,675
2024/6/20 18:21,RS+PC,65,609,674
2024/6/20 18:21,RS+PC,65,612,675
2024/6/20 18:21,RS+PC,65,611,675
2024/6/20 18:21,RS+PC,65,615,677
