Sensor 2,Sensor 4,Time
616,666,2012/6/24 16:13
616,670,2012/6/24 16:13
619,678,2012/6/24 16:13
624,685,2012/6/24 16:13
623,687,2012/6/24 16:13
622,689,2012/6/24 16:13
620,687,2012/6/24 16:13
609,684,2012/6/24 16:13
601,686,2012/6/24 16:13
608,687,2012/6/24 16:13
604,689,2012/6/24 16:13
615,690,2012/6/24 16:13
624,689,2012/6/24 16:13
623,691,2012/6/24 16:13
628,690,2012/6/24 16:13
622,695,2012/6/24 16:13
619,692,2012/6/24 16:13
617,691,2012/6/24 16:13
620,693,2012/6/24 16:13
630,692,2012/6/24 16:13
630,694,2012/6/24 16:13
630,694,2012/6/24 16:13
630,694,2012/6/24 16:13
630,691,2012/6/24 16:13
636,690,2012/6/24 16:13
642,691,2012/6/24 16:13
643,691,2012/6/24 16:13
648,691,2012/6/24 16:13
630,690,2012/6/24 16:13
603,676,2012/6/24 16:13
577,661,2012/6/24 16:13
542,649,2012/6/24 16:13
536,640,2012/6/24 16:13
561,653,2012/6/24 16:13
583,666,2012/6/24 16:13
614,680,2012/6/24 16:13
645,692,2012/6/24 16:13
647,694,2012/6/24 16:13
646,695,2012/6/24 16:13
651,697,2012/6/24 16:13
649,696,2012/6/24 16:13
648,696,2012/6/24 16:13
651,695,2012/6/24 16:13
643,691,2012/6/24 16:13
