No,Number Per One Dimension,Gender,Size,Horizational Distance (CM),Vertical distance between shoulderes and table surface (shoulder normal),Vertical distance between shoulderes and table surface (round shoulder),Vertical distance between eye level and table surface,Vertical distance between Head posture device and table surface,Width of shoulders,Horizontal distance between eyes and head posture device,Shoulder Posture ,Head Posture,Sensor 1,Sensor 2 ,Senor 3
1,1,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),666,543,688
2,2,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),660,526,691
3,3,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),635,516,674
4,4,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),633,554,669
5,5,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),636,517,675
6,6,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),646,554,666
7,7,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),640,568,662
8,8,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),651,525,660
9,9,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),645,528,659
10,10,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),642,522,642
11,11,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),630,545,618
12,12,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),625,8190,634
13,13,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),625,8190,618
14,14,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),600,548,626
15,15,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),613,536,631
16,16,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),621,8190,629
17,17,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),627,528,641
18,18,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),629,546,625
19,19,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),621,534,626
20,20,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),635,8190,631
21,21,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),623,506,628
22,22,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),635,506,638
23,23,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),631,532,633
24,24,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),619,561,637
25,25,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),631,523,640
26,26,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),642,517,630
27,27,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),622,527,626
28,28,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),628,8190,625
29,29,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),632,500,646
30,30,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),636,527,637
31,31,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),642,510,639
32,32,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),633,522,636
33,33,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),656,8190,633
34,34,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),633,499,632
35,35,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),627,8190,635
36,36,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),635,535,641
37,37,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),631,506,626
38,38,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),629,8190,639
39,39,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),631,508,622
40,40,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),627,539,630
41,41,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),629,8190,645
42,42,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),625,551,640
43,43,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),635,521,640
44,44,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),643,536,632
45,45,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),628,522,640
46,46,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),617,522,638
47,47,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),613,8190,639
48,48,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),624,465,630
49,49,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),630,527,629
50,50,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),606,8190,635
51,51,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),617,531,631
52,52,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),622,8190,641
53,53,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),610,562,632
54,54,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),621,539,637
55,55,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),621,511,642
56,56,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),614,523,642
57,57,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),619,504,647
58,58,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),616,576,628
59,59,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),627,526,642
60,60,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Extreme),609,8190,624
61,1,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),640,575,666
62,2,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),644,523,662
63,3,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),641,555,671
64,4,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),648,8190,670
65,5,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),632,559,669
66,6,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),649,546,658
67,7,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),671,578,664
68,8,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),661,551,678
69,9,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),678,8190,677
70,10,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),678,586,679
71,11,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),657,567,674
72,12,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),662,574,678
73,13,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),644,542,677
74,14,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),660,537,668
75,15,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),652,553,675
76,16,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),667,8190,668
77,17,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),668,573,680
78,18,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),653,553,678
79,19,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),657,544,673
80,20,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),652,493,676
81,21,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),650,590,677
82,22,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),649,549,679
83,23,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),660,592,666
84,24,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),658,549,677
85,25,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),651,8190,676
86,26,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),657,564,674
87,27,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),645,516,672
88,28,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),651,555,678
89,29,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),648,579,675
90,30,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),657,570,679
91,31,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),646,534,674
92,32,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),656,557,670
93,33,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),656,8190,673
94,34,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),664,548,670
95,35,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),645,8190,675
96,36,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),655,548,669
97,37,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),664,8190,670
98,38,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),668,554,668
99,39,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),669,610,673
100,40,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),658,558,671
101,41,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),655,522,668
102,42,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),657,8190,669
103,43,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),663,8191,682
104,44,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),674,539,684
105,45,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),654,572,683
106,46,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),643,8191,671
107,47,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),656,8190,675
108,48,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),656,582,664
109,49,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),654,8190,670
110,50,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),669,512,674
111,51,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),660,571,673
112,52,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),651,547,668
113,53,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),661,571,673
114,54,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),647,594,671
115,55,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),640,552,672
116,56,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),643,560,674
117,57,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),655,595,677
118,58,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),661,532,661
119,59,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),652,560,668
120,60,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Poking Chin (Acceptable),644,546,667
121,1,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neutral Position(Best Position),667,588,695
122,2,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neutral Position(Best Position),627,574,694
123,3,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neutral Position(Best Position),663,590,693
124,4,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neutral Position(Best Position),668,584,698
